device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"DIODE","DFLS130L","powerdi123","smt","no","unknown","DFLS130LQ-7","mouser","621-DFLS130LQ7",1,"D3"
"IC","CC1200","TI-QFN32","smt","no","unknown","CC1200RHBT","digikey","296-36396-1-ND",1,"U6"
"IC","LM293","8ufson2x2","smt","no","unknown","LM293QT","mouser","511-LM293QT",3,"U13 U14 U15"
"IC","MAX-7Q","UBLOX-MAX","smt","yes","unknown","MAX-7Q","u-blox","MAX-7Q",1,"U10"
"IC","MCP130T-300","SOT23","smt","no","unknown","MCP130T-300I/TT","digikey","MCP130T-300I/TTCT-ND",1,"U11"
"IC","MCP73831","SOT23-5","smt","yes","unknown","MCP73831T-2ACI/OT","mouser","579-MCP73831T-2ACIOT ",1,"U2"
"IC","MMA6555","AN3111","smt","yes","unknown","MMA6555KW","mouser","841-MMA6555KW",1,"U3"
"IC","MPU-9250","ufqfpn24","smt","no","unknown","MPU-9250","mouser","410-MPU-9250",1,"U12"
"IC","MS5607","MS5607","smt","no","unknown","MS560702BA03-50","digikey","223-1198-1-ND",1,"U4"
"IC","STM32L151VCT6","lqfp100","smt","no","unknown","STM32L151VCT6","mouser","511-STM32L151VCT6",1,"U7"
"IC","TC2185-3.3","SOT23-5","smt","no","unknown","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U1"
"IC","W25Q64","SOIJ8","smt","no","unknown","MX25L6406EM2I-12G","digikey","1092-1124-ND ",1,"U5"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","unknown","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","unknown","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"INDUCTOR","bead","0402","smt","no","unknown","LI0402C221R-10","digikey","240-2554-1-ND",1,"L600"
"LED","dualLED","0605","smt","yes","unknown","LTST-C195KGJRKT","digikey","160-1452-1-ND",2,"D1 D2"
"MOSFET","Si7232DN","1212-8","smt","no","unknown","SI7232DN-T1-GE3","mouser","781-SI7232DN-GE3",3,"Q1 Q2 Q3"
"RESISTOR","100k","0402","smt","no","unknown","RC0402FR-07100KL","digikey","311-100KLRCT-ND",7,"R13 R14 R15 R16 R17 R18 R27"
"RESISTOR","10k","0402","smt","yes","unknown","ERJ-2RKF1002X","digikey","P10.0KLTR-ND",5,"R26 R36 R38 R401 R402"
"RESISTOR","18","0402","smt","no","unknown","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","1k","0402","smt","yes","unknown","ERJ-2RKF1001X","digikey","P1.00KLTR-ND",4,"R50 R51 R52 R53"
"RESISTOR","220","0402","smt","no","unknown","ERJ-2RKF2200X","digikey","P220LCT-ND",4,"R40 R41 R42 R43"
"RESISTOR","22","0402","smt","no","unknown","ERJ-2RKF22R0X","digikey","P22.0LCT-ND",2,"R54 R55"
"RESISTOR","27k","0402","smt","no","unknown","ERJ-2RKF2702X","digikey","P27.0KLCT-ND",7,"R19 R20 R21 R22 R23 R24 R28"
"RESISTOR","2k","0402","smt","yes","unknown","ERJ-2RKF2001X","digikey","P2.00KLTR-ND",1,"R35"
"RESISTOR","3.3k","0402","smt","no","unknown","ERJ-2RKF3301X","digikey","P3.30KLCT-ND",6,"R1 R2 R3 R4 R5 R6"
"RESISTOR","549","0402","smt","no","unknown","ERJ-2RKF5490X","digikey","P549LCT-ND",6,"R10 R11 R12 R7 R8 R9"
"RESISTOR","5.6k","0402","smt","no","unknown","ERJ-2RKF5601X","digikey","P5.60KLCT-ND",1,"R25"
"RESISTOR","56k","0402","smt","no","unknown","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",2,"R30 R32"
"RESISTOR","8.06k","0402","smt","no","unknown","ERJ-2RKF8061X","digikey","P8.06KLCT-ND",1,"R37"
"RESISTOR","9.09k","0402","smt","no","unknown","ERJ-2RKF9091X","digikey","P9.09KLCT-ND",1,"R39"
